
CG start...

 Size:       75000
 Iterations:    75

 Initialization time =           9.500 seconds

   iteration           ||r||                 zeta
        1       1.56125505116222E-13    59.9994751578754
        2       4.84280185214421E-16    21.7627846142536
        3       6.22636418056682E-16    22.2876617043224
        4       3.41392660041713E-16    22.5230738188346
        5       4.49102976636421E-16    22.6275390653893
        6       3.46183139083875E-16    22.6740259189533
        7       2.64067004443368E-16    22.6949056826251
        8       1.95932266870191E-16    22.7044023166872
        9       2.63673716431701E-16    22.7087834345620
       10       4.07628642988662E-16    22.7108351397176
       11       6.12863271844957E-16    22.7118107121341
       12       4.84491905878574E-16    22.7122816240971
       13       4.50742256835524E-16    22.7125122663242
       14       4.60835956520238E-16    22.7126268007594
       15       8.44568907828526E-16    22.7126844161819
       16       5.52639740448720E-16    22.7127137461755
       17       1.62865339845730E-16    22.7127288402000
       18       6.72207806064426E-16    22.7127366848296
       19       2.29305388945613E-16    22.7127407981217
       20       4.93982520625405E-16    22.7127429721364
       21       5.59443105487744E-16    22.7127441294025
       22       2.50204517410874E-16    22.7127447493900
       23       3.50526372813133E-16    22.7127450834533
       24       3.49340653121129E-16    22.7127452643881
       25       1.61238445286242E-16    22.7127453628451
       26       3.45645850403392E-16    22.7127454166517
       27       2.60852767680544E-16    22.7127454461695
       28       2.63053282725065E-16    22.7127454624211
       29       3.52768861183454E-16    22.7127454713974
       30       3.01372901937888E-16    22.7127454763703
       31       3.53249015989810E-16    22.7127454791343
       32       3.49144100621976E-16    22.7127454806740
       33       2.59481955539742E-16    22.7127454815315
       34       4.00422900384105E-16    22.7127454820131
       35       2.62513266822145E-16    22.7127454822840
       36       2.99277854744807E-16    22.7127454824348
       37       3.94832641485022E-16    22.7127454825202
       38       2.65483279589140E-16    22.7127454825684
       39       3.45799280314818E-16    22.7127454825966
       40       1.87005255950657E-16    22.7127454826116
       41       3.41568735985081E-16    22.7127454826202
       42       3.43461541436768E-16    22.7127454826253
       43       3.43324297758839E-16    22.7127454826277
       44       4.30260513851543E-16    22.7127454826297
       45       3.97573433009214E-16    22.7127454826310
       46       3.03411411284425E-16    22.7127454826310
       47       3.41072767281098E-16    22.7127454826314
       48       3.92855615410738E-16    22.7127454826317
       49       1.88128236958588E-16    22.7127454826308
       50       4.09280407219646E-16    22.7127454826322
       51       4.65847458200886E-16    22.7127454826324
       52       5.48536333912326E-16    22.7127454826313
       53       4.61301641597657E-16    22.7127454826315
       54       3.06296789838835E-16    22.7127454826310
       55       3.49479167819914E-16    22.7127454826315
       56       4.31526107197404E-16    22.7127454826316
       57       1.48564899466787E-16    22.7127454826318
       58       1.48550221371545E-16    22.7127454826313
       59       2.55744465331146E-16    22.7127454826314
       60       2.88206985878594E-16    22.7127454826318
       61       2.86913108388898E-16    22.7127454826315
       62       1.46899674737885E-16    22.7127454826318
       63       4.01896595013605E-16    22.7127454826313
       64       2.20322613253578E-16    22.7127454826317
       65       3.97876365420771E-16    22.7127454826309
       66       2.15153774771139E-16    22.7127454826319
       67       1.47506455162447E-16    22.7127454826319
       68       2.97774710476332E-16    22.7127454826321
       69       4.50709324273807E-16    22.7127454826317
       70       1.82183593554619E-16    22.7127454826326
       71       4.59907430598056E-16    22.7127454826314
       72       3.39485489164734E-16    22.7127454826322
       73       3.43438319044017E-16    22.7127454826316
       74       3.02681727657942E-16    22.7127454826318
       75       3.91819804963997E-16    22.7127454826310

Complete...
 VERIFICATION SUCCESSFUL
 Zeta is     2.2712745482631E+01
 Error is    6.2567753977913E-16


Execution time : 29.727515 seconds

