
CG start...

 Size:       75000
 Iterations:    75

 Initialization time =           4.167 seconds

   iteration           ||r||                 zeta
        1       2.27623230253657E-13    59.9994751578754
        2       8.44559392893216E-16    21.7627846142536
        3       8.64511022632338E-16    22.2876617043224
        4       8.61697722482409E-16    22.5230738188346
        5       8.71222095709208E-16    22.6275390653892
        6       8.71977185255567E-16    22.6740259189533
        7       8.73832261918524E-16    22.6949056826251
        8       8.87870239801501E-16    22.7044023166872
        9       8.83216527363961E-16    22.7087834345620
       10       8.80909464617773E-16    22.7108351397177
       11       8.80803816383157E-16    22.7118107121341
       12       8.84631507363274E-16    22.7122816240971
       13       8.84386307708107E-16    22.7125122663242
       14       8.85738245256241E-16    22.7126268007594
       15       8.69465189590021E-16    22.7126844161819
       16       8.80464475795608E-16    22.7127137461755
       17       8.79208229388488E-16    22.7127288402000
       18       8.84495944057552E-16    22.7127366848296
       19       8.87459020956502E-16    22.7127407981217
       20       8.78738608788050E-16    22.7127429721364
       21       8.79063996233035E-16    22.7127441294025
       22       8.77561970738108E-16    22.7127447493901
       23       8.73438042797631E-16    22.7127450834533
       24       8.78562496292348E-16    22.7127452643881
       25       8.75015123991464E-16    22.7127453628451
       26       8.81271487788102E-16    22.7127454166517
       27       8.72205152729482E-16    22.7127454461696
       28       8.78141674395662E-16    22.7127454624211
       29       8.88528576053352E-16    22.7127454713974
       30       8.79144959398065E-16    22.7127454763703
       31       8.78591890267517E-16    22.7127454791343
       32       8.85325894647993E-16    22.7127454806740
       33       8.70066182336828E-16    22.7127454815315
       34       8.71454650086712E-16    22.7127454820131
       35       8.73438751458077E-16    22.7127454822840
       36       8.73176084610621E-16    22.7127454824348
       37       8.74014063008852E-16    22.7127454825202
       38       8.70732107664715E-16    22.7127454825684
       39       8.75913366163154E-16    22.7127454825966
       40       8.72533505015524E-16    22.7127454826116
       41       8.74242759896121E-16    22.7127454826202
       42       8.72798302131147E-16    22.7127454826253
       43       8.69544222399476E-16    22.7127454826277
       44       8.72412853147203E-16    22.7127454826297
       45       8.70832361421081E-16    22.7127454826310
       46       8.65100411049732E-16    22.7127454826310
       47       8.71121215477551E-16    22.7127454826314
       48       8.68659902454702E-16    22.7127454826317
       49       8.71050899841891E-16    22.7127454826309
       50       8.68033381747093E-16    22.7127454826322
       51       8.70509439009337E-16    22.7127454826324
       52       8.69970107944567E-16    22.7127454826313
       53       8.70427229060342E-16    22.7127454826315
       54       8.72820552427826E-16    22.7127454826309
       55       8.67261407909339E-16    22.7127454826315
       56       8.64712529017114E-16    22.7127454826316
       57       8.70593212517842E-16    22.7127454826318
       58       8.63832172567102E-16    22.7127454826314
       59       8.63173241813457E-16    22.7127454826314
       60       8.57938279425341E-16    22.7127454826318
       61       8.58579909609132E-16    22.7127454826315
       62       8.74404056648904E-16    22.7127454826318
       63       8.67301065013901E-16    22.7127454826313
       64       8.63384836444720E-16    22.7127454826317
       65       8.63971438217499E-16    22.7127454826309
       66       8.62447462291034E-16    22.7127454826319
       67       8.63535715652259E-16    22.7127454826319
       68       8.61325733558301E-16    22.7127454826321
       69       8.55897709043410E-16    22.7127454826317
       70       8.60213440084578E-16    22.7127454826326
       71       8.66523049409848E-16    22.7127454826314
       72       8.58560541980115E-16    22.7127454826322
       73       8.67648121676997E-16    22.7127454826316
       74       8.60096097573596E-16    22.7127454826318
       75       8.59195042974869E-16    22.7127454826310

Complete...
 VERIFICATION SUCCESSFUL
 Zeta is     2.2712745482631E+01
 Error is    6.2567753977913E-16


Execution time : 64.491579 seconds

